mal_id,title,score,scored_by,genres,type,episodes,status,popularity
35180,3-gatsu no Lion 2nd Season,8.9,211486,"Childcare, Drama, Seinen, Strategy Game",,22,finished_airing,430217
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9,142588,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen, Time Travel",,1,finished_airing,257898
19,Monster,8.89,486147,"Adult Cast, Drama, Mystery, Psychological, Seinen, Suspense",,74,finished_airing,1272362
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,104498,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,14,finished_airing,220284
54492,Kusuriya no Hitorigoto,8.86,408934,"Drama, Historical, Medical, Mystery",,24,finished_airing,737833
35247,Owarimonogatari 2nd Season,8.86,206119,"Comedy, Mystery, Supernatural, Vampire",,7,finished_airing,428286
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,489372,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",,2,finished_airing,809617
37987,Violet Evergarden Movie,8.84,323661,"Award Winning, Drama",,1,finished_airing,698422
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,26107,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",,1,finished_airing,65067
32281,Kimi no Na wa.,8.83,2033743,"Award Winning, Drama",,1,finished_airing,2951354
40682,Kingdom 3rd Season,8.83,50580,"Action, Historical, Military, Seinen",,26,finished_airing,125425
49387,Vinland Saga Season 2,8.82,440494,"Action, Adventure, Drama, Gore, Historical, Seinen",,24,finished_airing,792030
60489,Takopii no Genzai,8.81,126583,"Drama, Psychological, Sci-Fi, Shounen, Time Travel",,6,finished_airing,238295
36838,Gintama. Shirogane no Tamashii-hen,8.81,113294,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,12,finished_airing,232654
60098,Boku no Hero Academia: Final Season,8.78,14522,"Action, School, Shounen, Super Power",,0,currently_airing,169090
263,Hajime no Ippo,8.78,329850,"Combat Sports, Shounen, Sports",,75,finished_airing,668961
40028,Shingeki no Kyojin: The Final Season,8.78,1468573,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",,16,finished_airing,2210973
31758,Kizumonogatari III: Reiketsu-hen,8.78,291103,"Action, Mystery, Supernatural, Vampire",,1,finished_airing,500447
37510,Mob Psycho 100 II,8.78,1057568,"Action, Comedy, Supernatural",,13,finished_airing,1677066
2921,Ashita no Joe 2,8.77,24760,"Combat Sports, Drama, Shounen, Sports",,47,finished_airing,64033
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,855723,"School, Shounen, Sports, Team Sports",,10,finished_airing,1297693
199,Sen to Chihiro no Kamikakushi,8.77,1383440,"Adventure, Award Winning, Fantasy, Mythology",,1,finished_airing,1983629
48583,Shingeki no Kyojin: The Final Season Part 2,8.77,884058,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",,12,finished_airing,1489396
37521,Vinland Saga,8.77,1009520,"Action, Adventure, Drama, Gore, Historical, Seinen",,24,finished_airing,1736994
17074,Monogatari Series: Second Season,8.76,374700,"Comedy, Mystery, Romance, Supernatural, Vampire",,26,finished_airing,707386
1,Cowboy Bebop,8.75,1035821,"Action, Adult Cast, Award Winning, Sci-Fi, Space",,26,finished_airing,2006327
47917,Bocchi the Rock!,8.74,444359,"CGDCT, Comedy, Music",,12,finished_airing,736860
53447,Tu Bian Yingxiong X,8.73,77598,"Action, Super Power",,24,finished_airing,195913
